Title;Rating;Image;Demography;Genres;Year;List
CHEAT KUSUSHI NO SLOW LIFE: ISEKAI NI TSUKUROU DRUGSTORE;9.67/10;https://otakuteca.com/images/books/cover/614f06776a39b.jpg;Shounen;Aventura, Comedia, Fantasia, Reencarnación;2018;Siguiendo
Chikotan- Kowareru;9.09/10;https://otakuteca.com/images/books/cover/12934_TMOmanga035540.jpg;Seinen;Comedia, Romance, Ecchi, Harem, Vida Escolar, Sobrenatural, Misterio;2015 - 2016;Siguiendo
ChinChin KemoKemo;0.00/10;https://otakuteca.com/images/books/cover/5ce32cd170a13.jpg;Seinen;Acción, Comedia, Demonios, Ecchi, Fantasia, Romance;2019;Siguiendo
Chocolate Vampire;9.00/10;https://otakuteca.com/images/books/cover/5d1b53328b06e.jpg;Shoujo;Vida Escolar, Romance, Vampiros, Harem, Comedia, Drama;2016;Siguiendo
Chuusotsu Worker kara Hajimeru Koukou Seikatsu Roudousha;8.00/10;https://otakuteca.com/images/books/cover/15313_TMOManga57056e0a477ab.jpg;Seinen;Romance, Vida Escolar, Recuentos de la vida, Drama;2011;Siguiendo
Cinderella wa Sagasanai.;8.00/10;https://otakuteca.com/images/books/cover/5fe90eb445f1f.jpg;Seinen;Comedia, Drama, Romance, Vida Escolar;2020;Siguiendo
Dachi no imouto;10.00/10;https://otakuteca.com/images/books/cover/5f3daf9f79648.jpg;Josei;Comedia, Romance, Vida Escolar;2020;Siguiendo
Darwin's Game;9.29/10;https://otakuteca.com/images/books/cover/648002c8d5640.jpg;Shounen;Acción, Ecchi, Misterio, Psicológico, Ciencia Ficción, Drama, Romance;2012;Siguiendo
Dokuzakura;6.67/10;https://otakuteca.com/images/books/cover/5d520342c8e45.jpg;Seinen;Ecchi, Misterio, Psicológico, Romance, Sobrenatural, Thriller, Harem;2019 - 2020;Siguiendo
Domestic na Kanojo;6.18/10;https://otakuteca.com/images/books/cover/5c6629d99f9e7.jpg;Shounen;Drama, Romance, Vida Escolar, Ecchi, Harem;2014;Siguiendo
Doubt!;9.01/10;https://otakuteca.com/images/books/cover/9272_TMOmanga084430.jpg;Shounen;Comedia, Recuentos de la vida, Ecchi, Romance, Harem, Vida Escolar;2012;Siguiendo
Doukyuusei ni Koi o Shita;2.00/10;https://otakuteca.com/images/books/cover/20363_TMOManga57f161d34d0d2.jpg;Shoujo;Romance, Comedia, Vida Escolar;2016;Siguiendo
Dr. Stone;8.85/10;https://otakuteca.com/images/books/cover/5d924d4309b18.jpg;Shounen;Acción, Aventura, Apocalíptico, Comedia, Supervivencia, Misterio, Ciencia Ficción;2017 - 2022;Siguiendo
Eien Ni Korosare Tsuzukeru Natsu;0.00/10;https://otakuteca.com/images/books/cover/5cfd3254380a1.jpg;Seinen;Horror, Vida Escolar;2019;Siguiendo
Eiyuu Kyoushitsu - Reboot;8.00/10;https://otakuteca.com/images/books/cover/5dfea4fff29d4.jpg;Shounen;Acción, Comedia, Fantasia, Vida Escolar, Ecchi, Harem;2016;Siguiendo
En no Shita no Chikara Mocher: Maou Toubatsu shitara Wakagaetta node, Gakuen de Kage kara Support shimasu;7.00/10;https://otakuteca.com/images/books/cover/621d022556b6c.jpg;Seinen;Comedia, Fantasia, Magia, Romance, Vida Escolar;2022;Siguiendo
Futago, Futagokoro.;5.00/10;https://otakuteca.com/images/books/cover/5f71388652f7f.jpg;Seinen;Drama, Romance, Vida Escolar;2018;Siguiendo
Fuufu Ijou, Koibito Miman.;8.86/10;https://otakuteca.com/images/books/cover/63ba3533878dd.jpg;Seinen;Comedia, Drama, Ecchi, Romance, Vida Escolar, Recuentos de la vida;2018;Siguiendo
Garden Sphere;9.07/10;https://otakuteca.com/images/books/cover/5f6bde465b86f.jpg;Shounen;Romance, Comedia, Fantasia, Aventura, Vida Escolar;2017;Siguiendo
Girigiri Out;5.00/10;https://otakuteca.com/images/books/cover/61df64c472071.jpg;Shounen;Comedia, Ecchi, Romance, Vida Escolar, Harem;2012 - 2018;Siguiendo
Mis primeras veces con Suwa-san;7.50/10;https://otakuteca.com/images/books/cover/643adaf3c24c6.jpg;Seinen;Comedia, Romance;2020;Siguiendo
Hanazono-san Chi no Futago-chan;7.60/10;https://otakuteca.com/images/books/cover/609d81e979046.jpg;Shounen;Comedia, Romance, Vida Escolar, Recuentos de la vida, Drama, Harem;2020 - 2021;Siguiendo
Happy Sugar Life;7.00/10;https://otakuteca.com/images/books/cover/14067_TMOmanga113316.jpg;Seinen;Drama, Horror, Misterio, Psicológico, Girls Love;2015;Siguiendo
Hello World;0.00/10;https://otakuteca.com/images/books/cover/5e3f25b9d2658.jpg;Seinen;Drama, Romance, Vida Escolar, Ciencia Ficción, Sobrenatural;2019 - 2020;Siguiendo
Hensokukei Quadrangle;9.06/10;https://otakuteca.com/images/books/cover/14316_TMOmanga010919.jpg;Shounen;Comedia, Romance, Vida Escolar;2015;Siguiendo
Hige Wo Soru. Soshite Joshikosei Wo Hirou;6.39/10;https://otakuteca.com/images/books/cover/5ecec044774df.jpg;Seinen;Comedia, Drama, Romance, Recuentos de la vida, Telenovela;2018;Siguiendo
Himari no Mawari;0.00/10;https://otakuteca.com/images/books/cover/5d0463185e42b.jpg;Seinen;Comedia, Familia, Romance, Vida Escolar, Recuentos de la vida;2018 - 2020;Siguiendo
Hinako’s My Wife?!;8.00/10;https://otakuteca.com/images/books/cover/5c389e3508209.jpg;Shoujo;Romance, Sobrenatural;2018;Siguiendo
Hinomoto 3-shimai wa Kamatte Hoshii;8.80/10;https://otakuteca.com/images/books/cover/5e0ce8c7e230b.jpg;Seinen;Comedia, Ecchi, Harem, Romance, Recuentos de la vida;2016 - 2018;Siguiendo
Hokenshitsu no Kageyama-kun;6.00/10;https://otakuteca.com/images/books/cover/5d4064f93f26b.jpg;Shoujo;Comedia, Romance, Vida Escolar, Sobrenatural, Vampiros;2017;Siguiendo
Horimiya;7.89/10;https://otakuteca.com/images/books/cover/615de1631925f.jpg;Shounen;Comedia, Recuentos de la vida, Romance, Vida Escolar;2011 - 2021;Siguiendo
Hoshino, Me o Tsubutte;8.89/10;https://otakuteca.com/images/books/cover/5e1e86776fa29.jpg;Shounen;Comedia, Recuentos de la vida, Romance, Vida Escolar, Drama, Harem;2016 - 2018;Siguiendo
The After School Idol Has a Secret;0.00/10;https://otakuteca.com/images/books/cover/648d6c1131507.jpg;Shounen;Musica, Realidad, Romance, Vida Escolar;2022;Siguiendo
Houkago wa Kissaten de;9.09/10;https://otakuteca.com/images/books/cover/35314_TMOManga5a715e1d1eab6.jpg;Shoujo;Romance, Vida Escolar, Comedia, Drama;2017;Siguiendo
I Want To Drink Your Tears;9.00/10;https://otakuteca.com/images/books/cover/5f28427101b28.jpg;Shounen;Comedia, Romance, Vida Escolar, Recuentos de la vida;2020;Siguiendo
Otome Game no Mobu desura naindaga;9.29/10;https://otakuteca.com/images/books/cover/62943be8222a3.jpg;Shounen;Comedia, Fantasia, Reencarnación, Romance, Recuentos de la vida;2021;Siguiendo
Ichijou-san, se te nota en la cara;10.00/10;https://otakuteca.com/images/books/cover/625b4fc43fcd9.jpg;Seinen;Comedia, Romance, Vida Escolar, Sobrenatural, Vampiros;2021;Siguiendo
Ijousha no Ai;6.11/10;https://otakuteca.com/images/books/cover/5ea88207b19cf.jpg;Shounen;Horror, Psicológico, Romance, Tragedia, Gore, Drama;2017 - 2018;Siguiendo
Iris Zero;9.24/10;https://otakuteca.com/images/books/cover/5f1c8ff032132.jpg;Seinen;Comedia, Drama, Fantasia, Sobrenatural, Misterio, Romance, Vida Escolar;2009;Siguiendo
Jaku-Chara Tomozaki-kun;10.00/10;https://otakuteca.com/images/books/cover/34023_TMOManga5a3f6f29836d1.jpg;Shounen;Drama, Harem, Romance, Recuentos de la vida, Comedia;2017;Siguiendo
Jibaku Shounen Hanako-kun;9.23/10;https://otakuteca.com/images/books/cover/61609dae0e751.jpg;Shounen;Acción, Aventura, Drama, Romance, Vida Escolar, Recuentos de la vida, Sobrenatural;2014;Siguiendo
Jingi Naki Mukotori;10.00/10;https://otakuteca.com/images/books/cover/5f98769931b33.jpg;Shoujo;Comedia, Drama, Romance, Vida Escolar;2020;Siguiendo
Jubunnoichi no Hanayome;5.50/10;https://otakuteca.com/images/books/cover/605d33de2a1b4.jpg;Seinen;Drama, Ecchi, Harem, Familia, Telenovela, Recuentos de la vida;2019;Siguiendo
Kaifuku Jutsushi no Yarinaoshi;6.88/10;https://otakuteca.com/images/books/cover/61018c6d9c438.jpg;Seinen;Aventura, Harem, Gore, Ecchi, Reencarnación, Acción, Tragedia;2017;Siguiendo
Kakushigoto - Secrets;0.00/10;https://otakuteca.com/images/books/cover/5b5b33dac4e59.jpg;Seinen;Drama, Vida Escolar, Recuentos de la vida, Sobrenatural;2018;Siguiendo
Kanan-sama Might be Easy;8.92/10;https://otakuteca.com/images/books/cover/629634d78ab1c.jpg;Shounen;Comedia, Demonios, Fantasia, Romance, Recuentos de la vida;2022;Siguiendo
Kanojo ga Flag wo Oraretara;8.92/10;https://otakuteca.com/images/books/cover/5d08acaf04364.jpg;Shounen;Comedia, Recuentos de la vida, Ecchi, Sobrenatural, Romance, Harem, Vida Escolar;2011 - 2015;Siguiendo
